[0719/154046:ERROR:backend_impl.cc(2020)] Corrupt Index file
[0719/154046:ERROR:cache_util_win.cc(20)] Unable to move the cache: 5
[0719/154046:ERROR:cache_util.cc(134)] Unable to move cache folder C:\ProgramData\Altium\Altium Designer {FF83626F-D721-4B7A-AA7E-CAF67EAE1292}\BrowserCache to C:\ProgramData\Altium\Altium Designer {FF83626F-D721-4B7A-AA7E-CAF67EAE1292}\old_BrowserCache_000
[0719/154046:ERROR:cache_creator.cc(129)] Unable to create cache
[0719/162431:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162436:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162441:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162446:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162451:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162456:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162501:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162506:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162511:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162516:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162521:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162526:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162531:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162536:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162541:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162546:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162551:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162556:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162601:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162606:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162611:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162616:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162621:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162626:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162631:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162636:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162641:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162646:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162651:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162656:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162701:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162706:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162711:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162716:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162721:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162726:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162731:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162736:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162741:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162746:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162751:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162756:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162801:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162806:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162812:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162817:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162822:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162827:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162832:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162837:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162842:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162847:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162852:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162857:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162902:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162907:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162912:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162917:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162922:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162927:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162932:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162937:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162942:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162947:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162952:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/162957:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163002:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163007:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163012:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163017:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163022:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163027:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163032:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163037:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163042:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163047:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163052:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163057:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163102:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163107:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163112:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163117:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163122:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163127:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163132:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163137:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163142:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163147:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163152:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163157:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163202:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163207:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163212:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163217:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163222:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163227:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163232:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163237:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163242:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163247:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163252:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163257:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163302:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163307:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163312:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163317:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163322:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163327:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163333:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163338:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163343:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163348:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163353:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163358:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163403:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163408:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163413:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163418:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163423:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163428:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163433:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163438:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163443:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163448:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163453:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163458:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163503:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163508:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163513:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163518:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163523:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163528:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163533:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163538:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163543:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163548:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163553:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163558:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163603:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163608:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163613:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163618:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163623:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163628:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163633:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163638:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163643:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163648:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163653:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163658:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163703:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163708:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163713:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163718:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163723:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163728:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163733:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163738:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163744:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163749:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163754:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163759:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163804:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163809:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163814:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163819:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163824:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163829:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163834:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163839:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163844:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163849:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163854:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163859:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163904:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163909:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163914:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163919:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163924:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163929:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163934:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163939:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163944:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163949:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163954:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/163959:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164004:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164009:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164014:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164019:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164024:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164029:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164034:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164039:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164044:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164049:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164054:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164059:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164104:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164109:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164114:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164119:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164124:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164129:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164134:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164139:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164144:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164149:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164154:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164159:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164205:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164210:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164215:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164220:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164225:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164230:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164235:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164240:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164245:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164250:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164255:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164300:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164305:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164310:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164315:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164320:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164325:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164330:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164335:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164340:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164345:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164350:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164355:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164400:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164405:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164410:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164415:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164420:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164425:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164430:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164435:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164440:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
[0719/164445:WARNING:dns_config_service_win.cc(665)] Failed to read DnsConfig.
